X_GYRO_LOW,X_GYRO_OUT,Y_GYRO_LOW,Y_GYRO_OUT,Z_GYRO_LOW,Z_GYRO_OUT,X_ACCL_LOW,X_ACCL_OUT,Y_ACCL_LOW,Y_ACCL_OUT,Z_ACCL_LOW,Z_ACCL_OUT,TIME_STAMP
621889444,9489,-11111280,-170,-23760728,-363,-5054588,-78,124692493,1902,243626010,3717,0
629690909,9608,-11441972,-175,-24112484,-368,-4746337,-73,125081963,1908,243699766,3718,0
632908632,9657,-12586751,-193,-24462051,-374,-5767621,-89,125487702,1914,233592881,3564,0
639595365,9759,-10745829,-164,-24488660,-374,-9473280,-145,128805211,1957,236274774,3605,0
640578166,9774,-10406619,-159,-23830541,-364,-12039087,-184,131373251,2004,234901198,3584,0
643924627,9825,-12553820,-192,-23545490,-360,-7848585,-120,127836610,1950,231055630,3525,0
646482297,9864,-12073405,-185,-22740163,-339,-5332620,-82,139022655,2121,231061397,3525,0
651524328,9941,-10040332,-154,-22016923,-336,-8294477,-127,132144539,2016,216086386,3297,0
653942471,9978,-9896296,-152,-20666043,-316,15290962,233,222528439,3395,180419896,2752,0
655952317,10054,-7397322,-113,-18245010,-279,29704122,453,239720250,3657,176394796,2919,0
663773518,10128,-11424635,-175,-33953570,-519,-27052449,-413,211952071,3234,226629237,3458,0
670965817,10238,-29341653,-448,-51351583,-784,-12173486,-186,168460768,2570,230511782,3517,0
686588324,10476,-26541026,-405,-39894964,-609,-5885090,-44,130510534,1991,212582210,3243,0
690187301,10531,-19579218,-299,-33403907,-510,-2074411,-32,110442746,1685,216089525,3297,0
685846860,10465,-15513462,-237,-28032508,-428,-17202191,-263,97785855,1492,201601078,3076,0
678690611,10355,-11259196,-181,-27245132,-416,-21718588,-332,95501932,1457,232970604,3554,0
666557507,10170,-13225722,-202,-25797795,-394,-31593916,-483,123182169,1879,226820319,3461,0
665829163,10159,-11535386,-177,-24512875,-375,-17624352,-269,133443711,2036,234005191,3570,0
667396756,10183,-11132302,-170,-24176615,-369,-18636935,-285,132922992,2142,226483364,3455,0
669948776,10222,-10434865,-160,-19174530,-293,-16283580,-249,130640692,1993,224263802,3421,0
673290713,10273,-8183712,-125,-19040090,-291,-16805372,-257,120962563,1845,215627877,3290,0
672501853,10261,-7173023,-110,-19108882,-278,-20709366,-316,110754883,1689,219548983,3350,0
667589083,10186,-7097165,-109,-17868196,-273,-30352816,-464,112502811,1716,221268415,3376,0
663515886,10124,-6365363,-98,-18128605,-277,-28683373,-438,128656287,1963,213578497,3258,0
661024851,10057,-8185342,-125,-17563032,-268,-21626132,-330,130396409,1989,208098642,3089,0
656241053,10013,-9128376,-140,-17141753,-262,-17624660,-269,143806519,2194,187727050,2864,0
651710794,9944,-7399372,-113,-18339306,-280,-10169680,-156,156255683,2384,186293233,2842,0
643637386,9821,-7337509,-112,-18600093,-284,-14353881,-21,163181352,2489,188013050,2868,0
639964888,9765,-8404237,-129,-13742588,-210,-3820632,-59,163327282,2492,176785290,2697,0
632877642,9656,-6146263,-94,-12583314,-193,-2708656,-46,161470732,2463,179313947,2736,0
628935343,9596,-3515907,-50,-10725577,-164,-2462776,-38,160924622,2455,184204289,2810,0
618251308,9433,-5061692,-78,-9952613,-152,3434132,52,155058662,2366,193560795,2953,0
