X_GYRO_LOW,X_GYRO_OUT,Y_GYRO_LOW,Y_GYRO_OUT,Z_GYRO_LOW,Z_GYRO_OUT,X_ACCL_LOW,X_ACCL_OUT,Y_ACCL_LOW,Y_ACCL_OUT,Z_ACCL_LOW,Z_ACCL_OUT,TIME_STAMP
-6066638,-93,207242204,3162,1795521,27,-27675500,-584,-11451696,-175,238190518,3634,0
-6399723,-98,210058677,3222,-1414740,-22,-47929268,-732,-11193375,-171,244246817,3726,0
-5018751,-77,210170502,3206,-2978338,-46,-56773422,-867,-12166747,-186,254620818,3885,0
-3502540,-54,208065259,3174,-8070699,-124,-72662793,-1109,-13121697,-201,258985483,3951,0
64406,0,200083027,3053,-9828500,-150,-79260275,-1210,-14213110,-239,267421024,4080,0
2046690,31,195026895,2975,-12007412,-184,-89476687,-1366,-16595099,-254,271135252,4137,0
6483762,98,181404206,2768,-13660839,-209,-92836773,-1417,-18260199,-296,277498977,4234,0
8867706,135,174468108,2662,-14392430,-231,-96562327,-1474,-20524603,-314,279995407,4272,0
12223337,186,160165233,2443,-15782580,-241,-97412045,-1487,-21733103,-332,284193805,4336,0
13771557,210,153361386,2340,-15899993,-240,-96307416,-1470,-23074779,-353,286074203,4365,0
15561716,267,139695459,2131,-15117127,-231,-95001004,-1450,-23787811,-363,287586633,4388,0
19201213,292,133632605,2039,-15237591,-233,-90809586,-1386,-23967865,-366,287986453,4394,0
20594141,314,121973761,1861,-15954556,-244,-88285697,-1348,-23771967,-363,287885408,4386,0
23638404,360,116920579,1784,-16146329,-247,-82333984,-1257,-22599203,-345,286273242,4368,0
24895030,379,109067686,1664,-18098646,-277,-79340844,-1211,-21682049,-331,284754612,4345,0
27077295,413,105709384,1612,-19722895,-301,-76243535,-1118,-20060257,-307,280767088,4284,0
28198691,430,101105652,1542,-21957158,-336,-69932776,-1068,-19004838,-290,277986091,4241,0
30042518,458,99682737,1521,-23588023,-360,-66922040,-1022,-15972594,-244,272011291,4150,0
30962132,472,98859362,1504,-27192451,-415,-61227953,-935,-14020146,-214,268550541,4097,0
31812677,485,99167663,1513,-28828341,-440,-58766697,-897,-11121188,-170,261968703,3997,0
32071698,489,100233021,1529,-31695500,-484,-54629216,-834,-9951429,-152,258494362,3944,0
32782155,500,103847699,1584,-33132122,-506,-52862246,-807,-8543037,-107,252080439,3846,0
33036170,504,106665714,1627,-36272367,-554,-49572770,-757,-5888502,-90,249232058,3802,0
32888281,501,112765546,1720,-38127778,-582,-48781536,-745,-4877242,-75,243939525,3722,0
33074511,504,116458794,1777,-39569386,-624,-47616698,-727,-2126170,-33,241464870,3684,0
33587618,512,124723716,1903,-42184135,-644,-47435020,-724,-1152913,-18,237544679,3624,0
33432245,510,129293166,1972,-43559672,-665,-47842431,-731,53835,0,235878433,3599,0
33222456,504,138970085,2120,-46448402,-709,-48238414,-737,65084,0,233448154,3562,0
33131443,505,143608360,2191,-47688865,-728,-49754320,-760,-377917,-6,232738735,3551,0
33641865,513,153763957,2346,-49903373,-762,-50452977,-770,-1191581,-19,232084726,3533,0
34075997,519,158137648,2412,-50599141,-773,-52418620,-800,-3499926,-54,231342050,3529,0
34390987,524,167633085,2557,-52132454,-796,-53347242,-815,-4462773,-69,231570316,3533,0
36202145,552,172062301,2625,-53443399,-816,-53885847,-836,-7071367,-108,231377317,3530,0
37108935,566,176229402,2746,-55722942,-851,-55765749,-851,-8597190,-132,231935793,3539,0
39903876,608,183889826,2805,-56762059,-867,-56549491,-863,-10568729,-162,232259145,3543,0
41074084,626,187585531,2862,-58836593,-898,-57878694,-884,-11688684,-179,232231053,3543,0
44004316,671,194785610,2972,-59466547,-908,-58510944,-893,-12175075,-186,232800969,3552,0
45176798,689,197672341,3016,-61806024,-944,-60294490,-921,-12259354,-188,233307473,3559,0
47521706,725,203315503,3102,-63044693,-962,-61001549,-931,-12157360,-194,233483589,3562,0
48624777,741,206199288,3146,-64010931,-977,-62168601,-949,-12674599,-194,233588131,3564,0
50447420,769,210777534,3216,-64577338,-986,-62415030,-953,-12217814,-187,234112834,3572,0
51359809,783,212921211,3248,-66152022,-1015,-63093300,-963,-12504227,-191,234466926,3577,0
53593512,817,216775709,3307,-66920440,-1022,-63184685,-965,-12328036,-189,234501001,3578,0
54502831,831,218179898,3329,-68288539,-1043,-62706440,-957,-12104382,-185,235043887,3586,0
55614103,870,220932215,3371,-69735055,-1065,-62364827,-952,-11595319,-177,235188010,3590,0
58423671,891,222542278,3395,-70697472,-1079,-61745338,-943,-11321582,-173,235447567,3592,0
59862764,913,224544242,3426,-73228443,-1118,-61512356,-939,-10645920,-163,235834028,3598,0
61760326,942,225072648,3434,-74593930,-1139,-60898562,-920,-9670613,-148,236483008,3608,0
63070149,962,225862139,3446,-77257106,-1179,-60448776,-923,-9240858,-142,236649874,3610,0
65035035,992,226388738,3454,-78689907,-1201,-60305726,-920,-9239319,-141,236981311,3616,0
65686293,1002,226775929,3460,-81552491,-1245,-60492150,-924,-9701385,-149,237031253,3616,0
67388825,1028,226544912,3456,-82983152,-1267,-60560043,-925,-10436330,-160,237639621,3626,0
67980771,1037,226127156,3450,-85704563,-1308,-61618117,-941,-10648920,-163,237846526,3629,0
69099100,1054,225098546,3434,-86995981,-1328,-62017792,-947,-10728442,-177,238226898,3635,0
69430514,1059,224141121,3420,-90400153,-1380,-63347197,-967,-11853172,-181,238222004,3634,0
70946405,1082,221757055,3383,-92090619,-1406,-63772201,-974,-12161362,-189,239079015,3648,0
71213790,1086,220129153,3358,-95215292,-1453,-64441177,-984,-13085984,-200,239077622,3648,0
72005577,1098,217068400,3312,-97041808,-1481,-64608095,-986,-13083293,-200,239361035,3652,0
72868124,1111,215372565,3286,-98534821,-1527,-65241296,-996,-13955143,-213,239576420,3655,0
72809133,1108,211580005,3228,-100900610,-1540,-65112965,-994,-14263643,-218,239083047,3648,0
73016165,1114,209952177,3203,-102256267,-1561,-65434094,-999,-14518632,-222,239113359,3648,0
73419117,1120,205901101,3141,-104895398,-1601,-65337844,-997,-14970520,-229,239246481,3640,0
74160335,1131,203741932,3108,-106113640,-1620,-65255596,-996,-14838450,-227,238637795,3641,0
74559837,1137,199812706,3048,-108752778,-1660,-65034100,-993,-14783204,-226,238229665,3635,0
74505353,1136,197988645,3021,-109358615,-1669,-64700907,-982,-14915919,-228,237618096,3625,0
74511266,1136,193929360,2959,-111247712,-1698,-63573458,-971,-15137277,-231,237548609,3624,0
73932791,1128,192104844,2931,-111987948,-1709,-62722254,-958,-15094083,-231,237023509,3616,0
73544751,1122,190343700,2878,-113401587,-1731,-60952047,-931,-15083957,-231,236656983,3611,0
72832724,1111,187165030,2855,-114414767,-1746,-59726353,-912,-15357944,-235,236267419,3605,0
72312675,1103,185740603,2834,-115898104,-1769,-57200936,-873,-15271937,-234,236092295,3602,0
71401415,1089,183442667,2799,-116232712,-1774,-56081294,-856,-15573471,-244,236452448,3607,0
71142776,1085,182223963,2780,-117890571,-1799,-53619460,-819,-16260625,-249,236132689,3603,0
70487937,1075,180790087,2758,-118328458,-1806,-52433435,-801,-16259641,-249,235738961,3597,0
70293556,1072,179979709,2746,-118528935,-1811,-51001488,-779,-16477383,-252,235247940,3589,0
70229668,1071,178966100,2730,-118865156,-1814,-49889017,-762,-16479381,-252,234299033,3575,0
69901025,1066,178415955,2722,-119406319,-1822,-48724845,-744,-16525192,-253,234255057,3574,0
69897974,1065,178002926,2716,-119676874,-1827,-48173286,-736,-16345496,-250,233650419,3560,0
69833398,1065,177861859,2713,-120424374,-1838,-47159102,-720,-15625009,-239,233318629,3560,0
69897832,1066,178938118,2730,-120563460,-1840,-46926992,-717,-15113206,-231,233488798,3561,0
69108794,1054,179003779,2731,-120697867,-1842,-46704114,-712,-14440116,-221,233046908,3556,0
69239946,1056,179329704,2736,-120835953,-1844,-46554863,-711,-13714661,-210,233027727,3555,0
69365947,1058,180688057,2757,-120704677,-1842,-46681181,-708,-13200701,-202,233283773,3559,0
69296047,1057,181979224,2791,-118671834,-1811,-46371658,-708,-12480796,-191,233408572,3561,0
68888690,1051,184262864,2811,-118608080,-1810,-46428904,-709,-12219811,-187,233603933,3564,0
68884260,1051,185684927,2833,-116442331,-1777,-46195347,-705,-12767999,-195,234003858,3570,0
67955936,1036,189205961,2887,-115494228,-1763,-46340968,-708,-12435063,-188,234682736,3580,0
67164332,1024,190895589,2912,-113569770,-1733,-46232446,-706,-12817716,-196,235094904,3587,0
66560815,1015,195432102,2982,-111975279,-1709,-46517029,-710,-13096115,-199,235815157,3598,0
66292667,1011,197395139,3012,-110038820,-1680,-46652404,-712,-13307083,-204,236408419,3607,0
65237374,995,202196562,3085,-108526441,-1656,-46760003,-714,-13229489,-202,237414256,3622,0
64566773,985,204635434,3122,-106832719,-1616,-47764202,-729,-12977808,-199,238131599,3633,0
64034110,970,210043216,3205,-104536487,-1596,-48163216,-735,-12361693,-189,239287955,3651,0
63232297,964,212481146,3242,-102979672,-1572,-48832859,-746,-11898022,-182,239752255,3658,0
62834608,952,217841594,3323,-99799245,-1523,-49265100,-752,-11456242,-175,240244357,3675,0
61645667,940,220487996,3364,-98173543,-1499,-49699216,-759,-10832717,-166,241468413,3684,0
61112585,932,225911740,3447,-93973602,-1434,-49825307,-761,-10582969,-162,241764076,3689,0
60179606,918,228281008,3483,-92551858,-1413,-50018246,-765,-11204173,-171,242701558,3703,0
59451530,907,233269442,3559,-89639035,-1368,-49919666,-762,-11575846,-177,243115574,3709,0
57338365,874,235797000,3597,-87672413,-1338,-49679115,-759,-12336266,-189,244999626,3738,0
56413181,860,238237205,3671,-84487121,-1290,-49409198,-754,-12911618,-198,246037389,3754,0
54696364,834,242436233,3699,-82926582,-1266,-49025214,-749,-13133140,-201,248467940,3791,0
53969868,823,244133787,3725,-79873203,-1219,-48883999,-746,-13538736,-207,249397370,3805,0
52847438,806,246849194,3766,-78651685,-1201,-49141840,-750,-15346517,-235,250375698,3820,0
52123700,795,247796837,3781,-76884872,-1174,-49691143,-759,-15809332,-242,250351740,3820,0
50674019,773,249020254,3799,-75864053,-1158,-49895580,-762,-15676090,-248,250365099,3820,0
49754184,759,249705191,3810,-73648840,-1124,-51226857,-782,-16874930,-258,249047728,3800,0
48835024,745,250456761,3821,-73142721,-1117,-52000860,-794,-17518681,-268,245679974,3748,0
48178544,735,250663089,3824,-72597169,-1092,-52517118,-802,-18842411,-288,243785440,3719,0
46604773,689,251010985,3830,-70955918,-1083,-52694369,-805,-18756157,-287,241801589,3689,0
44439976,678,251219178,3833,-70138147,-1071,-53083391,-810,-17295555,-264,241682175,3687,0
43586636,639,251510368,3837,-67954027,-1037,-53414784,-816,-16285577,-249,241799911,3693,0
39852986,608,251580194,3838,-67403213,-1029,-54048579,-825,-14742584,-225,242091927,3694,0
38476672,587,250916540,3828,-65896243,-1006,-54381555,-830,-14033783,-215,242255022,3696,0
36119783,551,250245610,3818,-65413568,-999,-54921064,-850,-13155059,-201,243417228,3714,0
35138765,536,248981508,3799,-64177806,-980,-56724179,-866,-12849050,-197,243996812,3723,0
33442132,510,247976556,3783,-63288018,-966,-57884730,-904,-12364118,-189,244776936,3734,0
